start,duration
2395070373,15684
2402819507,15766
2405035527,15650
2405291611,16233
2406542553,15832
2406656688,16040
2408004406,11189
2409066608,15530
2409926826,16032
2414819850,15824
2416352810,16166
2417578769,15902
2418819986,16095
2422819571,15995
2424010883,11203
2425207830,15881
2426087061,16352
2428561507,15909
2430027916,15901
2430309440,15934
2434560513,11123
2434819871,15454
2436526061,11166
2438269452,16002
2441023177,15731
2444377882,15900
2448629411,16112
2453380589,11227
2454820226,15870
2455495813,11237
2456536914,15972
2461929984,15875
2463069378,16135
2464013236,11210
2464573978,16121
2466259261,11218
2466833691,15989
2468024696,11229
2468867351,16001
2470379091,16092
2474820573,15840
2475449046,16234
2476019319,11242
2477972671,15930
2478820144,15790
2479976419,11072
2482820328,15906
2483995391,11100
2485160851,15760
2485908318,16004
2490719039,15647
2490818620,15851
2491965703,11047
2494819921,15972
2495255335,15988
2496654586,15956
2498820631,15704
2499996390,11157
2502818720,15680
2505613423,15802
2506820463,15816
2510819454,15857
2512029057,11226
2514819126,15852
2516299104,15813
2517837417,16007
2518805380,13694
2518819326,15735
2520508489,11171
2522819431,15746
2524552165,15848
2524763335,15968
2525940857,11217
2526179181,16122
2527511360,11224
2530818221,15510
2530842739,15887
2534818494,15654
2538820749,15887
2542819102,15605
2544002400,16123
2544029234,11155
2544158594,16027
2545494961,16017
2546818097,15799
2550820267,15747
2551167386,16111
2558881291,16016
2562805264,26398
2562833786,15948
2565936929,15733
2566631473,16103
2569193850,11203
2570177764,15647
2570414482,16051
2574819996,15736
2577810740,15877
2578819446,15648
2582819504,15866
2586065664,15944
2590819705,15754
2591377838,15847
2592552528,16011
2592722302,16003
2594258480,16023
2598818164,15839
2602820143,15774
2606195359,15794
2606818835,15824
2607991978,11158
2609356081,16045
2610820503,15756
2611989738,11006
2614818973,15622
2616640294,16222
2618887216,15979
2622819646,16152
2626325079,15766
2626821246,16275
2630818765,15948
2634818150,16010
2642818975,15577
2646047449,15937
2646452949,16109
2647347356,11172
2648198461,15912
2648456151,16045
2649504121,11249
2650818386,15952
2654818909,15981
2658805270,32337
2658891552,16257
2660173278,16016
2662796330,13847
2664131787,15836
2666246549,15813
2666519220,16014
2668988778,15886
2669196668,15935
2671972051,11020
2674818711,15801
2683709075,15943
2685107519,15762
2685296501,15789
2690346717,15643
2690489579,16019
2690805299,23279
2694818027,15691
2696786601,15938
2706466382,15720
2706888660,15744
2707964989,11188
2709595092,15752
2710818518,15499
2711837064,16109
2715324610,16000
2715560415,16026
2716656183,11151
2716896371,15792
2717086578,16039
2718482123,15945
2722037018,15761
2722299332,16007
2724008204,11122
2724651637,16185
2726886131,15936
2728651949,16059
2730820065,15761
2732663868,16085
2732825952,11169
2736667568,16004
2745323130,15913
2745661056,15820
2746719057,16143
2747168742,16237
2752045024,16139
2754836024,16084
2762819280,16184
2767082660,15816
2770819588,15515
2772330683,16122
2776677469,16143
2777702706,16054
2780961298,16113
2781124636,15820
2782109877,11097
2782818109,16154
